userID,gameID,prediction
u04763917,g51093074,4.115511993588385
u10668484,g42523222,1.4843173078033882
u82502949,g39422502,5.167885225894162
u14336188,g83517324,2.9625851045601874
u10096161,g10962300,3.315933267688276
u12864301,g29951417,0.9739609265799102
u74352605,g88258978,1.1612326122835293
u75043948,g25417282,4.236105589969275
u29296791,g59132435,2.5470428701560603
u25398433,g78239118,5.848267453939763
u84764376,g73199890,6.029920580547403
u09616615,g92522857,3.4069660812990907
u10691163,g32680601,4.3403269738788115
u38429458,g70782977,3.4386604999688863
u26986311,g06045292,3.7198573443613006
u65289967,g65794132,1.8745754939623989
u87979266,g89122297,3.271523848497716
u05311714,g82220080,6.540264288038456
u78011182,g05463839,6.846392303079173
u34020914,g67139666,3.814110823270685
u62855536,g54634449,2.448300722073543
u55833077,g88735741,2.3698238252461166
u24787553,g63858284,2.7451866250049597
u90805846,g78518895,4.577467727699622
u83707320,g02273341,6.759304043710593
u20383715,g05349653,4.705661348146821
u29006683,g78139956,3.0129454307665626
u71367785,g24982722,7.37163607827166
u04109297,g92694999,2.517698200388343
u20230969,g71624193,2.167809010899327
u37438991,g82994209,4.665628048931598
u21174368,g82668863,3.7664704942883978
u03586135,g66197269,1.7973160923955798
u15832377,g57834425,6.42292324152826
u60887184,g85840895,2.8546343610491105
u10763263,g16087475,3.051917350827681
u24175693,g52437423,3.892410287019866
u44150437,g59833534,3.5918115370900896
u24031173,g35155801,4.987495132990897
u12741451,g16135457,4.225908824765112
u57709154,g46862476,2.8020505588857594
u29258017,g68168423,3.0063293629373535
u81408606,g84686560,1.990583243643922
u19089061,g91851682,3.2983118261824322
u73375206,g01392148,1.9886165096160662
u51732970,g09480895,3.5498513276611874
u90857197,g57791098,5.870502348017105
u29991534,g74380807,4.148715854091609
u22769746,g29741733,4.018036025040268
u71039405,g68576907,3.566541553683997
u69685717,g67274965,4.8162120018965755
u79638535,g29091141,3.8912911554851792
u15856655,g48289742,2.4434440064069376
u52155642,g34491894,3.438894607709961
u08348857,g75348396,2.7385511679013614
u76615183,g16903439,3.6464642056931553
u06363461,g00785638,2.8823440609208255
u16745193,g47810653,4.492035537291265
u23967443,g17807252,4.725902997292058
u26638181,g73199890,6.034242316295432
u37208609,g54634449,2.5760009752722945
u51641312,g87912242,4.527315951635678
u39462514,g59027363,3.698437352477336
u75733314,g49445983,5.314827159251664
u75148448,g60355697,2.3201890760041683
u32200747,g70274773,3.706166215350903
u94793879,g88406710,3.1601087761670703
u13846553,g45685155,2.794876864216196
u17863042,g61310716,2.9168272317224404
u92300468,g58854798,3.697453173809874
u26771241,g88161192,2.866947093168404
u36252269,g17210393,5.068920289081378
u66968893,g32642694,2.65364571232584
u41619073,g69033010,4.621099912895191
u45751008,g99544321,3.981033455944252
u53708896,g68559005,3.356714540460392
u65902873,g13451594,4.510839654466106
u39310994,g23109078,3.4160468445309635
u85987227,g09929422,3.8252213927893677
u21721881,g08493444,3.843746326982893
u85850085,g69033010,4.628520320684064
