userID,gameID,prediction
u04836696,g41031307
u32377855,g62450068
u58289072,g71021765
u74685029,g26732871
u06266052,g69433247
u45011836,g57175884
u98484614,g01435414
u34253509,g66197269
u76252009,g10053132
u84876233,g75228197
u29321637,g59833534
u67052785,g90153689
u70503952,g62353511
u81008775,g42729032
u61237602,g39879078
u89226410,g18049686
u94796012,g08346452
u06628299,g54506405
u08543832,g96198443
u80800629,g48341630
u25070741,g03916495
u30659146,g30786147
u45711549,g14479207
u12032037,g40485117
u22382786,g02325217
u03066947,g61264440
u22189740,g35252974
u10036796,g69849525
u37204934,g84994417
u10691163,g19440662
u22405118,g44688036
u97610504,g41031307
u23800330,g21519849
u03317306,g21519849
u35536855,g35549655
u37104306,g85599208
u04419184,g05914065
u52520551,g26556480
u10691163,g84633727
u70647035,g42111697
u31782279,g33067795
u98959093,g67170903
u03882459,g53927674
u17224257,g16158766
u04495704,g29390929
u19615676,g09698387
u72460514,g13943116
u03766095,g28112086
u08795743,g15540544
u17863042,g61018623
u95151588,g09572072
u84685369,g95846609
u44095087,g53999958
u68962749,g91663233
u96104653,g77960728
u26432897,g16903439
u01590632,g68576640
u40218562,g56721077
u24256911,g41905064
u69159654,g84367501
u71489809,g59027363
u63229947,g27727435
u04495704,g45950487
u44701501,g06045292
u19161130,g57658162
u55150974,g71371078
u15830132,g04423005
u41966651,g83853612
u35602530,g71690287
u69345437,g14542017
u31594213,g60790435
u31760825,g36338988
u24181782,g48289742
u37555146,g39070083
u36368445,g84945830
u03246061,g22839997
u71130252,g00453873
u97839684,g24982722
u13080265,g55070029
u78421261,g22136822
u14336188,g39040827
u04962130,g48541719
u41227532,g01873417
u29752586,g59442626
u55107884,g73495588
u55366318,g63149989
u02338699,g31712310
u60815804,g14257535
u01980743,g24479985
u36491486,g05349653
u36626068,g36841558
u20447401,g31370047
u51437563,g42403034
u33109625,g57176944
u38622025,g09929422
u70568952,g88859177
u82502949,g64348065
u48527362,g82668863
u77726134,g03508032
u89365224,g59271404
u11721473,g90063494
u55714698,g54342851
u49777167,g15360200
u52075389,g59132435
u87036485,g58854798
u04639299,g47892501
u18992477,g95457243
u89445445,g68047320
u84256962,g15265313
u05245123,g18960204
u63078703,g05463839
u48180700,g70742092
u70076452,g86082690
u15803043,g62438733
u95974698,g40551467
u63883620,g26031188
u89127451,g57588908
u23441276,g24809309
u11721473,g05463839
u24505118,g10932727
u51716459,g66678119
u90093410,g06266910
u22696973,g62704618
u30338578,g41031307
u30338578,g05463839
u91360123,g63750844
u94119072,g14368997
u56796374,g34412552
u44357789,g03916495
u29822780,g34477578
u66008466,g34193208
u55344934,g23109078
u98955099,g71370190
u00795269,g82668863
u96202002,g78323532
u11950833,g76741488
u86207846,g68594066
u83097722,g84720805
u46238256,g32904933
u53873128,g57992239
u88601239,g30592455
u98179594,g89809648
u41623466,g05463839
u16580314,g75793700
u33751929,g01549519
u61544968,g94299923
u90559465,g39930645
u63199433,g92734872
u84956886,g78518895
u82650525,g01549519
u03604519,g47227534
u68209654,g33325347
u91560294,g73809315
u67895270,g58025004
u51474575,g13018310
u07680623,g15714062
u33284253,g99701966
u94112381,g31712310
u86005107,g05572229
u46645213,g10932727
u17568238,g83607000
u44067128,g58375086
u73747744,g82194239
u47452289,g37045588
u35062240,g87795702
u85327310,g36316885
u04261151,g52786930
u81349942,g59271404
u62452552,g09572072
u05464644,g05463839
u59755606,g24662129
u41476260,g74210041
u62247393,g94694767
u61230352,g96003471
u15111837,g09964073
u55699496,g74105866
u57371284,g18470245
u25717012,g51491804
u33062891,g69249829
u14140705,g48350599
u49842960,g96870434
u03882459,g14525638
u26034713,g17416233
u72460514,g93027730
u90085376,g48541719
u97374520,g19831304
u95348013,g00288786
u93459370,g91815777
u52828833,g92594366
u44824365,g44078228
u99498831,g86163916
u24256911,g84150274
u23800330,g24849398
u98937173,g57016851
u72474436,g83320778
u94268327,g99090834
u74606341,g60489606
u37774710,g11225866
u23205798,g19759241
u25042283,g93432134
u43904970,g41988339
u70853810,g75526007
u09697136,g58649509
u39462514,g30594093
u57699231,g67463933
u93364692,g98118815
u61208117,g59154612
u96746119,g09670581
u59268285,g33325347
u16475280,g78139956
u70674372,g71184832
u85535259,g08493444
u74573586,g25876484
u25564305,g30314000
u97529203,g62180900
u31791770,g98217589
u84107660,g41445437
u05525395,g51322209
u06032942,g01104341
u36620491,g47205010
u40002160,g02893562
u24933571,g96831210
u04150783,g89492775
u15708066,g96079291
u79541988,g03262233
u76404562,g51894741
u34383407,g34491894
u85199007,g51283481
u15332717,g32757860
u54383301,g58218995
u44067128,g50216638
u95993065,g02337832
u94977887,g67071738
u63226303,g46300937
u23368183,g70137688
u91560294,g64348065
u29718959,g82716620
u61691622,g38649631
u79980745,g15632833
u30193040,g05471082
u55659468,g59833534
u44712083,g47290851
u45208672,g77859458
u95327242,g68967575
u28780134,g56621675
u44657132,g84254492
u78011182,g32264946
u00372587,g59512240
u04989018,g78518895
u79460635,g76120150
u94408928,g35166995
u15552995,g85252310
u18885770,g34765721
u31201511,g46537467
u30064155,g82142560
u66568694,g46862476
u26810316,g84372351
u14595674,g00288786
u45711549,g00805292
u84560801,g41577769
u83692399,g58314864
u43524236,g02428379
u98179594,g90120962
u12940597,g51322209
u18992477,g94005519
u81485270,g85605126
u06509269,g38024861
u90784003,g46430686
u45818962,g62180900
u08766791,g87757756
u54654852,g05471082
u11812854,g43595278
u63163832,g82220080
u59520221,g08143802
u44825155,g93969631
u89963265,g65905047
u88679777,g00087199
u79713882,g18342664
u24671928,g80603516
u97350422,g71371078
u64823722,g47729030
u52704336,g08978402
u46445768,g09569977
u34999115,g52947714
u30856447,g00795234
u37863076,g76745472
u94667657,g77806076
u13620167,g61264440
u81008775,g72724018
u66352220,g68132896
u28701909,g11225866
u68968506,g66296428
u77654400,g57843499
u74687167,g91952332
u25321416,g22832209
u43963528,g83223954
u04759919,g31541380
u01256631,g03128638
u52373613,g32571546
u74463293,g46300937
u23441276,g88348345
u68393864,g32248763
u45151736,g39055346
u94793879,g16903439
u97610504,g39921149
u50474220,g38649631
u64860701,g46932837
u03150358,g07804237
u45818962,g37255956
